OrderNumber;Sales Channel;OrderDate;ShipDate;DeliveryDate;CurrencyCode;_SalesTeamID;salesteam name;_StoreID;StateName;statecode;household income;population;City Name;_ProductID;Order Quantity;Discount Applied;Unit Price;Unit Cost
SO - 0006657;Online;16/07/2020;12/08/2020;15/08/2020;USD;16;Anthony Berry;231;North Carolina;NC;100513;257.636;Durham;46;7;15%;3.792,20;2.919,99
SO - 0006658;Online;16/07/2020;13/08/2020;14/08/2020;USD;15;Roger Alexander;157;Illinois;IL;56956;149.401;Downers Grove (Township);13;8;5%;1.809,00;1.139,67
SO - 0006659;Wholesale;16/07/2020;18/07/2020;22/07/2020;USD;26;Donald Reynolds;244;New Jersey;NJ;99058;264.290;Jersey City;14;2;30%;3.839,10;2.648,98
SO - 0006660;In-Store;16/07/2020;21/07/2020;25/07/2020;USD;2;Keith Griffin;186;Indiana;IN;48011;123.397;Lawrence (Township);10;6;7,5%;6.083,60;2.980,96
SO - 0006661;In-Store;16/07/2020;08/08/2020;15/08/2020;USD;8;George Lewis;3;Alabama;AL;76170;194.288;Mobile;19;4;10%;3.370,10;2.257,97
SO - 0006662;Online;17/07/2020;31/07/2020;07/08/2020;USD;14;Paul Holmes;130;Florida;FL;37821;107.888;Palm Bay;10;8;40%;5.741,90;3.272,88
SO - 0006870;In-Store;11/08/2020;25/08/2020;29/08/2020;USD;7;Shawn Cook;143;Georgia;GA;57025;153.515;Macon;1;4;7,5%;1.045,20;700,28
SO - 0006664;Online;17/07/2020;04/08/2020;13/08/2020;USD;12;Carl Nguyen;230;North Carolina;NC;305488;827.097;Charlotte;24;4;40%;723,60;586,12
SO - 0006665;In-Store;17/07/2020;07/08/2020;10/08/2020;USD;4;Chris Armstrong;307;Texas;TX;42348;121.721;Abilene;14;6;7,5%;2.974,80;1.338,66
SO - 0006666;In-Store;17/07/2020;13/08/2020;19/08/2020;USD;11;Joshua Little;204;Louisiana;LA;153140;389.617;New Orleans;19;8;7,5%;3.886,00;2.215,02
SO - 0006972;Online;22/08/2020;28/08/2020;06/09/2020;USD;18;Shawn Wallace;66;California;CA;178185;490.712;Sacramento;1;4;10%;998,30;748,73
SO - 0006668;In-Store;17/07/2020;20/07/2020;25/07/2020;USD;10;Jonathan Hawkins;207;Massachusetts;MA;43801;110.402;Cambridge;5;8;7,5%;207,70;87,23
SO - 0007592;In-Store;01/11/2020;07/11/2020;15/11/2020;USD;5;Stephen Payne;328;Texas;TX;90433;249.042;Lubbock;1;4;20%;3.973,10;2.185,21
SO - 0006670;Wholesale;17/07/2020;23/07/2020;27/07/2020;USD;26;Donald Reynolds;364;Washington;WA;66417;172.860;Vancouver;41;2;5%;5.366,70;2.951,69
SO - 0006671;In-Store;17/07/2020;31/07/2020;03/08/2020;USD;7;Shawn Cook;220;Minnesota;MN;43634;112.225;Rochester;47;4;5%;1.145,70;458,28
SO - 0006672;Online;17/07/2020;21/07/2020;23/07/2020;USD;13;Todd Roberts;204;Louisiana;LA;153140;389.617;New Orleans;19;2;40%;3.939,60;2.403,16
SO - 0006673;Distributor;17/07/2020;03/08/2020;08/08/2020;USD;24;Roy Rice;16;California;CA;99670;350.742;Anaheim;36;2;40%;2.599,60;1.637,75
SO - 0006674;In-Store;17/07/2020;11/08/2020;15/08/2020;USD;6;Joshua Bennett;161;Illinois;IL;46895;147.861;Joliet;6;8;7,5%;194,30;110,75
SO - 0006675;In-Store;18/07/2020;15/08/2020;16/08/2020;USD;11;Joshua Little;317;Texas;TX;43745;131.044;Denton;8;3;5%;1.098,80;505,45
SO - 0006676;In-Store;18/07/2020;07/08/2020;13/08/2020;USD;9;Joshua Ryan;73;California;CA;37861;103.536;San Mateo;13;1;7,5%;1.092,10;655,26
SO - 0006677;Distributor;18/07/2020;21/07/2020;30/07/2020;USD;21;Samuel Fowler;18;California;CA;112439;373.640;Bakersfield;7;5;10%;958,10;699,41
SO - 0006678;In-Store;18/07/2020;07/08/2020;09/08/2020;USD;9;Joshua Ryan;322;Texas;TX;59196;187.809;Grand Prairie;13;7;5%;2.010,00;1.286,40
SO - 0006679;In-Store;18/07/2020;31/07/2020;07/08/2020;USD;2;Keith Griffin;167;Illinois;IL;37133;102.708;Naperville (Township);3;4;10%;1.929,60;1.234,94
SO - 0006680;Online;18/07/2020;31/07/2020;03/08/2020;USD;20;Anthony Torres;353;Virginia;VA;69073;182.385;Newport News;38;8;15%;743,70;312,35
SO - 0006681;Online;18/07/2020;23/07/2020;28/07/2020;USD;16;Anthony Berry;148;Iowa;IA;41100;102.582;Davenport;9;5;20%;5.942,90;4.754,32
SO - 0006682;In-Store;18/07/2020;30/07/2020;05/08/2020;USD;7;Shawn Cook;50;California;CA;51693;204.198;Moreno Valley;17;6;5%;3.664,90;2.198,94
SO - 0006683;Online;18/07/2020;07/08/2020;10/08/2020;USD;13;Todd Roberts;346;Utah;UT;75330;192.672;Salt Lake City;19;3;7,5%;3.879,30;3.219,82
SO - 0006684;In-Store;18/07/2020;13/08/2020;18/08/2020;USD;5;Stephen Payne;347;Utah;UT;31742;111.946;West Jordan;14;8;40%;1.125,60;720,38
SO - 0006685;In-Store;18/07/2020;11/08/2020;14/08/2020;USD;11;Joshua Little;132;Florida;FL;41422;107.762;Pompano Beach;20;7;10%;1.889,40;1.171,43
SO - 0006686;In-Store;18/07/2020;21/07/2020;31/07/2020;USD;7;Shawn Cook;290;Oregon;OR;35284;102.347;Hillsboro;40;8;5%;1.822,40;1.221,01
SO - 0006687;In-Store;19/07/2020;05/08/2020;12/08/2020;USD;5;Stephen Payne;249;New Mexico;NM;38925;101.643;Las Cruces;25;5;7,5%;1.031,80;804,80
SO - 0006688;Wholesale;19/07/2020;02/08/2020;04/08/2020;USD;26;Donald Reynolds;335;Texas;TX;34776;108.821;Pearland;16;3;7,5%;201,00;86,43
SO - 0006689;Online;19/07/2020;01/08/2020;05/08/2020;USD;13;Todd Roberts;74;California;CA;74757;335.400;Santa Ana;13;5;5%;3.886,00;2.253,88
SO - 0006690;In-Store;19/07/2020;04/08/2020;11/08/2020;USD;6;Joshua Bennett;105;Connecticut;CT;45239;124.006;Hartford;27;1;7,5%;1.112,20;700,69
SO - 0006691;Wholesale;19/07/2020;01/08/2020;11/08/2020;USD;28;Carlos Miller;136;Florida;FL;74388;189.907;Tallahassee;38;7;15%;247,90;146,26
SO - 0006692;Distributor;19/07/2020;15/08/2020;16/08/2020;USD;25;Patrick Graham;198;Kansas;KS;150683;389.965;Wichita;20;2;5%;3.819,00;2.711,49
SO - 0006693;Wholesale;19/07/2020;30/07/2020;08/08/2020;USD;26;Donald Reynolds;169;Illinois;IL;42938;114.057;Palatine (Township);32;8;30%;3.986,50;3.229,07
SO - 0006694;In-Store;19/07/2020;15/08/2020;25/08/2020;USD;8;George Lewis;127;Florida;FL;31003;113.187;Miami Gardens;35;6;5%;3.919,50;2.273,31
SO - 0006695;Online;19/07/2020;04/08/2020;13/08/2020;USD;16;Anthony Berry;338;Texas;TX;35580;115.997;Round Rock;19;2;7,5%;3.926,20;3.062,44
SO - 0006696;Wholesale;19/07/2020;01/08/2020;06/08/2020;USD;26;Donald Reynolds;343;Texas;TX;46719;132.356;Waco;23;3;5%;187,60;108,81
SO - 0006443;Wholesale;21/06/2020;04/07/2020;10/07/2020;USD;28;Carlos Miller;261;New York;NY;880727;2.636.735;Brooklyn;1;5;15%;254,60;175,67
SO - 0006698;Wholesale;19/07/2020;05/08/2020;09/08/2020;USD;28;Carlos Miller;221;Minnesota;MN;112988;300.851;St. Paul;13;8;10%;268,00;227,80
SO - 0006699;Distributor;19/07/2020;29/07/2020;04/08/2020;USD;21;Samuel Fowler;183;Indiana;IN;51271;119.943;Evansville;18;6;5%;1.869,30;1.383,28
SO - 0006767;Distributor;27/07/2020;18/08/2020;26/08/2020;USD;20;Anthony Torres;217;Michigan;MI;49444;132.052;Sterling Heights;1;5;5%;1.983,20;1.269,25
SO - 0006701;In-Store;20/07/2020;28/07/2020;04/08/2020;USD;7;Shawn Cook;198;Kansas;KS;150683;389.965;Wichita;11;6;5%;1.273,00;840,18
SO - 0006702;In-Store;20/07/2020;17/08/2020;25/08/2020;USD;9;Joshua Ryan;179;Illinois;IL;56788;152.861;Worth (Township);19;6;15%;911,20;601,39
SO - 0006703;Wholesale;20/07/2020;02/08/2020;11/08/2020;USD;25;Patrick Graham;317;Texas;TX;43745;131.044;Denton;42;8;7,5%;5.286,30;2.325,97
SO - 0006704;Wholesale;20/07/2020;05/08/2020;15/08/2020;USD;26;Donald Reynolds;186;Indiana;IN;48011;123.397;Lawrence (Township);7;4;10%;5.085,30;3.661,42
SO - 0006705;In-Store;20/07/2020;01/08/2020;06/08/2020;USD;5;Stephen Payne;354;Virginia;VA;87045;246.393;Norfolk;12;1;7,5%;1.051,90;568,03
SO - 0006706;In-Store;20/07/2020;17/08/2020;18/08/2020;USD;6;Joshua Bennett;139;Georgia;GA;45389;123.912;Athens;22;4;5%;2.003,30;1.121,85
SO - 0006707;Online;20/07/2020;27/07/2020;02/08/2020;USD;16;Anthony Berry;349;Virginia;VA;66879;153.511;Alexandria;31;3;7,5%;1.005,00;432,15
SO - 0006708;In-Store;20/07/2020;17/08/2020;21/08/2020;USD;10;Jonathan Hawkins;79;California;CA;41972;126.788;Simi Valley;7;6;5%;1.212,70;497,21
SO - 0006709;Wholesale;21/07/2020;01/08/2020;05/08/2020;USD;25;Patrick Graham;63;California;CA;36973;109.708;Richmond;26;1;5%;2.284,70;1.690,68
SO - 0006710;In-Store;21/07/2020;04/08/2020;08/08/2020;USD;6;Joshua Bennett;362;Washington;WA;87623;213.272;Spokane;2;5;5%;2.405,30;986,17
SO - 0006711;In-Store;21/07/2020;18/08/2020;20/08/2020;USD;8;George Lewis;255;Nevada;NV;92283;241.445;Reno;41;7;10%;3.886,00;2.331,60
SO - 0006712;In-Store;21/07/2020;05/08/2020;09/08/2020;USD;7;Shawn Cook;203;Louisiana;LA;59557;140.074;Metairie;5;6;5%;864,30;388,94
SO - 0006713;In-Store;21/07/2020;15/08/2020;16/08/2020;USD;6;Joshua Bennett;259;New York;NY;68789;213.776;Babylon (Town);6;3;7,5%;2.492,40;1.246,20
SO - 0006714;Online;21/07/2020;08/08/2020;09/08/2020;USD;14;Paul Holmes;363;Washington;WA;79026;207.948;Tacoma;8;4;10%;830,80;548,33
SO - 0006715;Distributor;21/07/2020;08/08/2020;09/08/2020;USD;24;Roy Rice;40;California;CA;71498;201.020;Glendale;4;1;7,5%;3.912,80;3.325,88
SO - 0006716;In-Store;21/07/2020;10/08/2020;16/08/2020;USD;10;Jonathan Hawkins;105;Connecticut;CT;45239;124.006;Hartford;43;7;7,5%;207,70;93,47
SO - 0006717;Online;21/07/2020;14/08/2020;16/08/2020;USD;19;Nicholas Cunningham;303;Tennessee;TN;81073;185.291;Knoxville;29;7;7,5%;5.192,50;3.634,75
SO - 0006718;In-Store;22/07/2020;03/08/2020;07/08/2020;USD;3;Jerry Green;344;Texas;TX;37200;104.710;Wichita Falls;4;7;20%;917,90;541,56
SO - 0006719;Online;22/07/2020;19/08/2020;25/08/2020;USD;17;Frank Brown;226;Missouri;MO;139555;315.685;St. Louis;23;7;7,5%;1.721,90;964,26
SO - 0006720;Online;22/07/2020;05/08/2020;10/08/2020;USD;20;Anthony Torres;353;Virginia;VA;69073;182.385;Newport News;24;3;7,5%;3.959,70;2.732,19
SO - 0006721;Wholesale;22/07/2020;16/08/2020;22/08/2020;USD;28;Carlos Miller;163;Illinois;IL;39769;112.890;Lyons (Township);30;4;10%;3.477,30;1.947,29
SO - 0006722;In-Store;22/07/2020;25/07/2020;29/07/2020;USD;7;Shawn Cook;139;Georgia;GA;45389;123.912;Athens;42;4;20%;3.939,60;2.718,32
SO - 0006723;In-Store;22/07/2020;09/08/2020;14/08/2020;USD;4;Chris Armstrong;230;North Carolina;NC;305488;827.097;Charlotte;25;6;5%;1.065,30;426,12
SO - 0006724;Online;23/07/2020;20/08/2020;26/08/2020;USD;18;Shawn Wallace;64;California;CA;91267;322.424;Riverside;8;8;7,5%;1.132,30;917,16
SO - 0006725;Wholesale;23/07/2020;15/08/2020;25/08/2020;USD;28;Carlos Miller;131;Florida;FL;56171;166.611;Pembroke Pines;25;5;15%;2.458,90;1.180,27
SO - 0006726;In-Store;24/07/2020;16/08/2020;18/08/2020;USD;3;Jerry Green;98;Colorado;CO;37157;101.350;Highlands Ranch;36;5;20%;1.018,40;712,88
SO - 0006727;In-Store;24/07/2020;01/08/2020;09/08/2020;USD;3;Jerry Green;130;Florida;FL;37821;107.888;Palm Bay;26;7;15%;3.825,70;2.486,71
SO - 0006728;In-Store;24/07/2020;12/08/2020;21/08/2020;USD;4;Chris Armstrong;26;California;CA;40908;113.204;Costa Mesa;20;5;5%;3.865,90;2.706,13
SO - 0006729;Online;24/07/2020;18/08/2020;23/08/2020;USD;13;Todd Roberts;245;New Jersey;NJ;92675;281.944;Newark;6;3;5%;3.504,10;1.401,64
SO - 0006730;Distributor;24/07/2020;10/08/2020;17/08/2020;USD;25;Patrick Graham;213;Michigan;MI;47179;117.070;Ann Arbor;10;3;5%;2.452,20;1.029,92
SO - 0006731;Online;24/07/2020;07/08/2020;16/08/2020;USD;13;Todd Roberts;336;Texas;TX;103937;283.558;Plano;41;4;7,5%;2.485,70;1.168,28
SO - 0006732;Online;24/07/2020;01/08/2020;06/08/2020;USD;13;Todd Roberts;47;California;CA;164406;474.140;Long Beach;40;2;5%;201,00;164,82
SO - 0006733;Online;24/07/2020;09/08/2020;14/08/2020;USD;15;Roger Alexander;189;Indiana;IN;39448;101.516;South Bend;46;7;5%;3.075,30;1.599,16
SO - 0006734;Distributor;24/07/2020;27/07/2020;29/07/2020;USD;21;Samuel Fowler;84;California;CA;55377;148.475;Torrance;29;1;10%;261,30;162,01
SO - 0006735;Distributor;24/07/2020;16/08/2020;26/08/2020;USD;23;Douglas Tucker;236;North Carolina;NC;48425;115.933;Wilmington;2;7;5%;180,90;106,73
SO - 0006736;Wholesale;24/07/2020;29/07/2020;08/08/2020;USD;25;Patrick Graham;60;California;CA;39378;153.266;Pomona;15;2;10%;3.852,50;2.311,50
SO - 0006737;In-Store;24/07/2020;12/08/2020;17/08/2020;USD;4;Chris Armstrong;3;Alabama;AL;76170;194.288;Mobile;33;4;7,5%;1.206,00;964,80
SO - 0006738;Online;24/07/2020;27/07/2020;03/08/2020;USD;15;Roger Alexander;72;California;CA;314297;1.026.908;San Jose;8;6;7,5%;1.996,60;1.078,16
SO - 0006739;Wholesale;24/07/2020;26/07/2020;30/07/2020;USD;28;Carlos Miller;244;New Jersey;NJ;99058;264.290;Jersey City;19;3;10%;2.646,50;1.482,04
SO - 0006740;Distributor;24/07/2020;13/08/2020;16/08/2020;USD;25;Patrick Graham;221;Minnesota;MN;112988;300.851;St. Paul;24;3;10%;1.018,40;804,54
SO - 0006741;Distributor;25/07/2020;16/08/2020;23/08/2020;USD;21;Samuel Fowler;161;Illinois;IL;46895;147.861;Joliet;32;2;5%;5.165,70;2.996,11
SO - 0006742;In-Store;25/07/2020;07/08/2020;13/08/2020;USD;9;Joshua Ryan;334;Texas;TX;49256;153.784;Pasadena;41;1;5%;2.231,10;1.762,57
SO - 0006743;In-Store;25/07/2020;03/08/2020;11/08/2020;USD;3;Jerry Green;270;New York;NY;782664;2.339.150;Queens;34;8;5%;6.231,00;4.174,77
SO - 0006744;In-Store;25/07/2020;09/08/2020;10/08/2020;USD;10;Jonathan Hawkins;362;Washington;WA;87623;213.272;Spokane;25;5;5%;5.025,00;3.567,75
SO - 0006745;In-Store;25/07/2020;06/08/2020;12/08/2020;USD;12;Carl Nguyen;270;New York;NY;782664;2.339.150;Queens;40;1;10%;1.802,30;1.063,36
SO - 0006746;Online;25/07/2020;08/08/2020;17/08/2020;USD;13;Todd Roberts;334;Texas;TX;49256;153.784;Pasadena;40;6;7,5%;6.291,30;3.837,69
SO - 0006747;Online;25/07/2020;05/08/2020;09/08/2020;USD;13;Todd Roberts;116;Florida;FL;46234;113.003;Clearwater;18;2;7,5%;2.505,80;1.002,32
SO - 0006748;In-Store;25/07/2020;31/07/2020;06/08/2020;USD;6;Joshua Bennett;277;New York;NY;73073;201.116;Yonkers;43;8;7,5%;1.125,60;956,76
SO - 0006749;In-Store;25/07/2020;16/08/2020;23/08/2020;USD;3;Jerry Green;59;California;CA;54536;142.250;Pasadena;46;7;10%;683,40;328,03
SO - 0006750;Online;25/07/2020;30/07/2020;04/08/2020;USD;19;Nicholas Cunningham;263;New York;NY;241539;771.018;Hempstead (Town);2;5;30%;1.775,50;1.083,06
SO - 0006751;In-Store;26/07/2020;11/08/2020;14/08/2020;USD;5;Stephen Payne;330;Texas;TX;50455;162.898;McKinney;23;1;7,5%;1.246,20;710,33
SO - 0006752;In-Store;26/07/2020;22/08/2020;29/08/2020;USD;9;Joshua Ryan;87;California;CA;41730;130.104;Visalia;37;3;7,5%;3.906,10;3.203,00
SO - 0006753;In-Store;26/07/2020;20/08/2020;26/08/2020;USD;4;Chris Armstrong;98;Colorado;CO;37157;101.350;Highlands Ranch;42;2;10%;737,00;449,57
SO - 0006754;Online;26/07/2020;23/08/2020;26/08/2020;USD;16;Anthony Berry;362;Washington;WA;87623;213.272;Spokane;41;8;15%;3.102,10;2.047,39
SO - 0006755;Online;26/07/2020;29/07/2020;02/08/2020;USD;19;Nicholas Cunningham;215;Michigan;MI;73026;195.097;Grand Rapids;25;5;7,5%;1.139,00;706,18
SO - 0006756;Online;26/07/2020;18/08/2020;26/08/2020;USD;14;Paul Holmes;346;Utah;UT;75330;192.672;Salt Lake City;19;3;15%;3.912,80;2.934,60
SO - 0006757;Wholesale;26/07/2020;11/08/2020;16/08/2020;USD;27;Shawn Torres;36;California;CA;72684;232.206;Fremont;12;1;7,5%;3.819,00;2.864,25
SO - 0006758;In-Store;26/07/2020;22/08/2020;25/08/2020;USD;11;Joshua Little;327;Texas;TX;38430;104.039;Lewisville;21;8;7,5%;1.869,30;1.046,81
SO - 0006759;Online;26/07/2020;01/08/2020;02/08/2020;USD;17;Frank Brown;337;Texas;TX;40020;110.815;Richardson;46;3;5%;1.098,80;582,36
SO - 0006760;Distributor;27/07/2020;10/08/2020;13/08/2020;USD;22;Joe Price;22;California;CA;78066;265.757;Chula Vista;34;5;7,5%;3.095,40;1.392,93
SO - 0006761;In-Store;27/07/2020;08/08/2020;16/08/2020;USD;5;Stephen Payne;239;Nebraska;NE;107574;277.348;Lincoln;20;8;30%;2.613,00;1.829,10
SO - 0006762;Distributor;27/07/2020;22/08/2020;23/08/2020;USD;25;Patrick Graham;281;Ohio;OH;334724;850.106;Columbus;39;8;5%;1.286,40;617,47
SO - 0006763;In-Store;27/07/2020;21/08/2020;23/08/2020;USD;1;Adam Hernandez;350;Virginia;VA;98441;220.173;Arlington;23;7;10%;2.700,10;1.755,07
SO - 0006764;In-Store;27/07/2020;14/08/2020;21/08/2020;USD;3;Jerry Green;85;California;CA;41216;121.253;Vallejo;22;3;7,5%;6.545,90;3.469,33
SO - 0006765;Distributor;27/07/2020;21/08/2020;23/08/2020;USD;22;Joe Price;207;Massachusetts;MA;43801;110.402;Cambridge;24;8;5%;5.085,30;3.000,33
SO - 0006766;Online;27/07/2020;06/08/2020;09/08/2020;USD;15;Roger Alexander;366;Wisconsin;WI;104087;248.951;Madison;30;5;7,5%;850,90;433,96
SO - 0006884;In-Store;12/08/2020;06/09/2020;10/09/2020;USD;4;Chris Armstrong;361;Washington;WA;296633;684.451;Seattle;1;5;7,5%;1.788,90;1.484,79
SO - 0006768;In-Store;27/07/2020;18/08/2020;24/08/2020;USD;2;Keith Griffin;206;Massachusetts;MA;256294;667.137;Boston;15;2;40%;5.500,70;2.420,31
SO - 0006769;Distributor;28/07/2020;01/08/2020;03/08/2020;USD;22;Joe Price;31;California;CA;49316;166.913;Elk Grove;43;7;5%;3.973,10;3.337,40
SO - 0006770;In-Store;28/07/2020;10/08/2020;13/08/2020;USD;2;Keith Griffin;61;California;CA;55240;175.236;Rancho Cucamonga;40;4;15%;3.175,80;2.540,64
SO - 0006771;Wholesale;28/07/2020;11/08/2020;21/08/2020;USD;27;Shawn Torres;59;California;CA;54536;142.250;Pasadena;19;2;7,5%;3.872,60;1.549,04
SO - 0006772;In-Store;28/07/2020;13/08/2020;14/08/2020;USD;3;Jerry Green;325;Texas;TX;46952;140.806;Killeen;14;7;5%;3.698,40;2.773,80
SO - 0006773;Distributor;28/07/2020;11/08/2020;20/08/2020;USD;22;Joe Price;95;Colorado;CO;275795;682.545;Denver;38;5;5%;3.041,80;2.555,11
SO - 0006774;In-Store;29/07/2020;13/08/2020;16/08/2020;USD;3;Jerry Green;158;Illinois;IL;35075;112.111;Elgin;43;7;5%;5.232,70;2.459,37
SO - 0006775;In-Store;29/07/2020;26/08/2020;29/08/2020;USD;7;Shawn Cook;86;California;CA;31886;122.225;Victorville;7;1;10%;1.045,20;679,38
SO - 0006776;Online;29/07/2020;09/08/2020;16/08/2020;USD;19;Nicholas Cunningham;108;Connecticut;CT;49771;130.322;New Haven (Town);25;8;10%;214,40;96,48
SO - 0006777;In-Store;29/07/2020;01/08/2020;07/08/2020;USD;4;Chris Armstrong;146;Hawaii;HI;127177;352.769;Honolulu;7;3;5%;911,20;446,49
SO - 0006778;Wholesale;29/07/2020;13/08/2020;17/08/2020;USD;28;Carlos Miller;67;California;CA;40892;157.380;Salinas;4;8;30%;1.172,50;879,38
SO - 0006779;Online;29/07/2020;24/08/2020;26/08/2020;USD;15;Roger Alexander;264;New York;NY;69000;204.398;Huntington;16;3;5%;1.681,70;706,31
SO - 0006780;Wholesale;29/07/2020;24/08/2020;30/08/2020;USD;26;Donald Reynolds;322;Texas;TX;59196;187.809;Grand Prairie;8;1;7,5%;3.926,20;1.688,27
SO - 0006781;In-Store;29/07/2020;19/08/2020;23/08/2020;USD;8;George Lewis;284;Oklahoma;OK;37246;106.563;Broken Arrow;37;6;10%;1.098,80;582,36
SO - 0006782;In-Store;29/07/2020;02/08/2020;06/08/2020;USD;9;Joshua Ryan;336;Texas;TX;103937;283.558;Plano;42;6;5%;5.815,60;4.826,95
SO - 0006783;Online;30/07/2020;27/08/2020;03/09/2020;USD;18;Shawn Wallace;66;California;CA;178185;490.712;Sacramento;3;6;7,5%;2.666,60;1.626,63
SO - 0006784;Online;30/07/2020;23/08/2020;02/09/2020;USD;14;Paul Holmes;281;Ohio;OH;334724;850.106;Columbus;29;5;5%;1.172,50;621,43
SO - 0006785;Wholesale;30/07/2020;25/08/2020;28/08/2020;USD;28;Carlos Miller;210;Massachusetts;MA;68576;184.815;Worcester;36;8;40%;1.273,00;801,99
SO - 0006786;In-Store;30/07/2020;12/08/2020;17/08/2020;USD;2;Keith Griffin;143;Georgia;GA;57025;153.515;Macon;8;3;40%;214,40;177,95
SO - 0006787;Distributor;30/07/2020;09/08/2020;17/08/2020;USD;25;Patrick Graham;150;Idaho;ID;86916;218.281;Boise City;38;8;5%;3.484,00;2.717,52
SO - 0006788;Online;30/07/2020;06/08/2020;08/08/2020;USD;18;Shawn Wallace;138;Florida;FL;41474;106.779;West Palm Beach;46;1;5%;2.438,80;1.195,01
SO - 0006789;Online;30/07/2020;19/08/2020;23/08/2020;USD;12;Carl Nguyen;35;California;CA;49975;207.460;Fontana;6;3;40%;5.775,40;4.678,07
SO - 0006790;Online;30/07/2020;17/08/2020;21/08/2020;USD;14;Paul Holmes;1;Alabama;AL;89972;212.461;Birmingham;44;1;10%;2.532,60;1.696,84
SO - 0006791;Distributor;30/07/2020;15/08/2020;18/08/2020;USD;23;Douglas Tucker;99;Colorado;CO;63159;152.597;Lakewood;12;6;7,5%;5.380,10;3.604,67
SO - 0006792;Online;30/07/2020;02/08/2020;10/08/2020;USD;13;Todd Roberts;345;Utah;UT;32506;115.264;Provo;36;1;40%;167,50;77,05
SO - 0006793;Wholesale;30/07/2020;20/08/2020;26/08/2020;USD;27;Shawn Torres;81;California;CA;55094;151.754;Sunnyvale;32;6;7,5%;3.953,00;3.043,81
SO - 0006794;Wholesale;30/07/2020;15/08/2020;25/08/2020;USD;26;Donald Reynolds;163;Illinois;IL;39769;112.890;Lyons (Township);38;4;15%;1.172,50;492,45
SO - 0006795;Online;31/07/2020;28/08/2020;07/09/2020;USD;19;Nicholas Cunningham;281;Ohio;OH;334724;850.106;Columbus;14;5;10%;1.098,80;933,98
SO - 0006796;Online;31/07/2020;20/08/2020;26/08/2020;USD;19;Nicholas Cunningham;95;Colorado;CO;275795;682.545;Denver;39;6;15%;5.735,20;4.416,10
SO - 0006797;Online;31/07/2020;13/08/2020;20/08/2020;USD;15;Roger Alexander;35;California;CA;49975;207.460;Fontana;7;8;15%;6.525,80;3.589,19
SO - 0006798;In-Store;31/07/2020;06/08/2020;12/08/2020;USD;5;Stephen Payne;210;Massachusetts;MA;68576;184.815;Worcester;29;5;5%;1.018,40;855,46
SO - 0006799;Online;31/07/2020;27/08/2020;05/09/2020;USD;12;Carl Nguyen;135;Florida;FL;105443;257.083;St. Petersburg;16;1;7,5%;3.497,40;2.937,82
SO - 0006800;In-Store;01/08/2020;09/08/2020;17/08/2020;USD;3;Jerry Green;268;New York;NY;76523;230.614;North Hempstead;27;6;7,5%;2.519,20;1.058,06
SO - 0006801;In-Store;01/08/2020;10/08/2020;17/08/2020;USD;3;Jerry Green;35;California;CA;49975;207.460;Fontana;31;4;15%;1.072,00;621,76
SO - 0006802;Distributor;01/08/2020;29/08/2020;30/08/2020;USD;22;Joe Price;210;Massachusetts;MA;68576;184.815;Worcester;8;4;30%;1.226,10;895,05
SO - 0006803;Online;01/08/2020;28/08/2020;02/09/2020;USD;20;Anthony Torres;219;Minnesota;MN;168385;410.939;Minneapolis;35;3;20%;1.943,00;835,49
SO - 0006804;In-Store;02/08/2020;17/08/2020;26/08/2020;USD;5;Stephen Payne;221;Minnesota;MN;112988;300.851;St. Paul;20;3;5%;1.715,20;1.234,94
SO - 0006805;Online;02/08/2020;21/08/2020;25/08/2020;USD;15;Roger Alexander;13;Arizona;AZ;45054;128.422;Surprise;11;3;5%;2.385,20;1.765,05
SO - 0006806;Distributor;02/08/2020;05/08/2020;14/08/2020;USD;25;Patrick Graham;122;Florida;FL;55823;149.728;Hollywood;17;8;5%;6.452,10;2.903,45
SO - 0006807;Online;02/08/2020;26/08/2020;03/09/2020;USD;14;Paul Holmes;312;Texas;TX;51563;183.887;Brownsville;31;1;7,5%;1.721,90;1.343,08
SO - 0006808;Distributor;02/08/2020;12/08/2020;17/08/2020;USD;25;Patrick Graham;184;Indiana;IN;102273;260.326;Fort Wayne;23;4;5%;3.819,00;2.978,82
SO - 0006809;Online;02/08/2020;30/08/2020;01/09/2020;USD;14;Paul Holmes;220;Minnesota;MN;43634;112.225;Rochester;38;3;7,5%;201,00;116,58
SO - 0006810;In-Store;02/08/2020;18/08/2020;26/08/2020;USD;1;Adam Hernandez;32;California;CA;30752;116.732;El Monte;23;8;20%;5.473,90;2.463,26
SO - 0006811;In-Store;03/08/2020;12/08/2020;20/08/2020;USD;10;Jonathan Hawkins;176;Illinois;IL;50575;116.565;Springfield;47;2;10%;3.879,30;1.784,48
SO - 0006812;Online;03/08/2020;23/08/2020;02/09/2020;USD;17;Frank Brown;70;California;CA;485091;1.394.928;San Diego;28;3;5%;6.023,30;3.132,12
SO - 0006813;Online;03/08/2020;28/08/2020;30/08/2020;USD;20;Anthony Torres;27;California;CA;31137;106.562;Daly City;15;5;10%;5.326,50;2.929,58
SO - 0006814;Online;03/08/2020;29/08/2020;30/08/2020;USD;15;Roger Alexander;115;Florida;FL;58967;175.229;Cape Coral;38;4;10%;187,60;155,71
