Ordernumber,Saleschannel,Orderdate,Shipdate,Deliverydate,Currencycode,Salesteamid,SalesteamName,Storid,Statename,Statecode,Householdincome,Population,Cityname,Productid,Productname,Orderquantity,DiscountApplied,Unitprice,UnitCost,Revenue,Profit,,
SO - 0006241,In-Store,2020-05-29,2020-06-04,2020-06-11,USD,11,Joshua Little,9,Arizona,AZ,168914,471825,Mesa,5,Bathroom Furniture,5,5%,1065.3,628.53,266.33,-362.2,,
SO - 0007896,Wholesale,2020-12-07,2020-12-27,2020-12-30,USD,28,Carlos Miller,135,Florida,FL,105443,257083,St. Petersburg,1,Cookware,8,7.50%,2257.9,1716,1354.74,-361.26,,
SO - 0007058,Online,2020-09-02,2020-09-21,2020-10-01,USD,16,Anthony Berry,112,Connecticut,CT,40213,108802,Waterbury (Town),39,Floor Lamps,2,10%,1031.8,567.49,206.36,-361.13,,
SO - 0007226,Online,2020-09-21,2020-10-18,2020-10-26,USD,13,Todd Roberts,120,Florida,FL,47968,130128,Gainesville,11,Ornaments,4,10%,1092.1,797.23,436.84,-360.39,,
SO - 0007739,In-Store,2020-11-17,2020-12-15,2020-12-24,USD,6,Joshua Bennett,257,Nevada,NV,60366,187647,Sunrise Manor,36,Clocks,2,5%,857.6,445.95,85.76,-360.19,,
SO - 0005302,Online,2020-02-09,2020-02-13,2020-02-18,USD,16,Anthony Berry,326,Texas,TX,66308,255473,Laredo,6,Computers,5,7.50%,1755.4,1018.13,658.28,-359.86,,
SO - 0005312,Online,2020-02-10,2020-02-27,2020-03-01,USD,18,Shawn Wallace,45,California,CA,24839,100314,Jurupa Valley,45,Home Fragrances,2,15%,971.5,650.91,291.45,-359.46,,
SO - 0005612,In-Store,2020-03-14,2020-03-29,2020-04-07,USD,10,Jonathan Hawkins,83,California,CA,45912,129339,Thousand Oaks,4,Serveware,5,5%,2244.5,920.25,561.13,-359.12,,
SO - 0005179,Wholesale,2020-01-23,2020-01-28,2020-02-04,USD,26,Donald Reynolds,345,Utah,UT,32506,115264,Provo,42,Bean Bags,4,10%,1989.9,1154.14,795.96,-358.18,,
SO - 0007317,In-Store,2020-10-02,2020-10-12,2020-10-22,USD,11,Joshua Little,53,California,CA,158424,419267,Oakland,36,Clocks,2,7.50%,1118.9,525.88,167.84,-358.05,,
SO - 0005420,Distributor,2020-02-21,2020-03-09,2020-03-18,USD,22,Joe Price,181,Indiana,IN,39770,100453,Calumet,42,Bean Bags,2,7.50%,917.9,495.67,137.69,-357.98,,
SO - 0007165,In-Store,2020-09-15,2020-10-12,2020-10-21,USD,6,Joshua Bennett,246,New Jersey,NJ,43037,147754,Paterson,6,Computers,3,5%,938,497.14,140.7,-356.44,,
SO - 0005897,In-Store,2020-04-18,2020-05-05,2020-05-08,USD,9,Joshua Ryan,364,Washington,WA,66417,172860,Vancouver,25,TV and video,3,7.50%,857.6,548.86,192.96,-355.9,,
SO - 0005971,Wholesale,2020-04-27,2020-05-17,2020-05-23,USD,27,Shawn Torres,147,Iowa,IA,53328,130405,Cedar Rapids,37,Platters,4,10%,1112.2,800.78,444.88,-355.9,,
SO - 0007202,Wholesale,2020-09-19,2020-10-10,2020-10-12,USD,28,Carlos Miller,21,California,CA,42791,113453,Carlsbad,29,Pendants,5,5%,911.2,583.17,227.8,-355.37,,
SO - 0006975,In-Store,2020-08-23,2020-08-29,2020-09-03,USD,9,Joshua Ryan,211,Maryland,MD,242268,621849,Baltimore,13,Bakeware,1,20%,683.4,492.05,136.68,-355.37,,
SO - 0006067,Online,2020-05-09,2020-05-30,2020-06-01,USD,15,Roger Alexander,214,Michigan,MI,255740,677116,Detroit,16,Stemware,8,5%,3946.3,1933.69,1578.52,-355.17,,
SO - 0006612,In-Store,2020-07-11,2020-07-29,2020-08-06,USD,7,Shawn Cook,54,California,CA,60493,175691,Oceanside,20,Bar Tools,4,10%,3946.3,1933.69,1578.52,-355.17,,
SO - 0006635,Online,2020-07-13,2020-08-04,2020-08-12,USD,19,Nicholas Cunningham,330,Texas,TX,50455,162898,McKinney,35,Table Linens,8,5%,984.9,748.52,393.96,-354.56,,
SO - 0007390,Wholesale,2020-10-10,2020-10-13,2020-10-14,USD,26,Donald Reynolds,12,Arizona,AZ,102424,236839,Scottsdale,31,Candleholders,8,7.50%,3939.6,2718.32,2363.76,-354.56,,
SO - 0007460,In-Store,2020-10-18,2020-10-23,2020-10-26,USD,1,Adam Hernandez,5,Arkansas,AR,79902,197992,Little Rock,8,Cocktail Glasses,2,10%,1011.7,556.44,202.34,-354.1,,
SO - 0005536,Distributor,2020-03-04,2020-03-10,2020-03-11,USD,20,Anthony Torres,219,Minnesota,MN,168385,410939,Minneapolis,23,Accessories,1,5%,737,390.61,36.85,-353.76,,
SO - 0004977,Online,2020-01-02,2020-01-12,2020-01-13,USD,19,Nicholas Cunningham,37,California,CA,161914,520052,Fresno,34,Bedroom Furniture,1,10%,1139,466.99,113.9,-353.09,,
SO - 0007090,In-Store,2020-09-05,2020-09-21,2020-09-23,USD,11,Joshua Little,109,Connecticut,CT,46974,128874,Stamford,24,Wall Frames,7,5%,2345,1172.5,820.75,-351.75,,
SO - 0005175,In-Store,2020-01-23,2020-02-10,2020-02-17,USD,5,Stephen Payne,102,Colorado,CO,42239,113130,Westminster,25,TV and video,3,10%,1212.7,715.49,363.81,-351.68,,
SO - 0006972,Online,2020-08-22,2020-08-28,2020-09-06,USD,18,Shawn Wallace,66,California,CA,178185,490712,Sacramento,1,Cookware,4,10%,998.3,748.73,399.32,-349.41,,
SO - 0005995,Wholesale,2020-04-29,2020-05-20,2020-05-24,USD,26,Donald Reynolds,287,Oklahoma,OK,164471,403505,Tulsa,19,Vanities,7,10%,3872.6,3059.35,2710.82,-348.53,,
SO - 0006268,Online,2020-05-31,2020-06-21,2020-06-27,USD,19,Nicholas Cunningham,106,Connecticut,CT,45239,124006,Hartford (Town),23,Accessories,4,7.50%,1025.1,656.06,307.53,-348.53,,
SO - 0005144,Distributor,2020-01-19,2020-02-09,2020-02-10,USD,25,Patrick Graham,42,California,CA,74460,201899,Huntington Beach,4,Serveware,7,5%,964.8,685.01,337.68,-347.33,,
SO - 0006388,In-Store,2020-06-14,2020-07-05,2020-07-10,USD,1,Adam Hernandez,356,Virginia,VA,166242,452745,Virginia Beach,37,Platters,7,5%,1051.9,715.29,368.17,-347.13,,
SO - 0006201,Distributor,2020-05-24,2020-06-01,2020-06-08,USD,21,Samuel Fowler,305,Tennessee,TN,44518,126118,Murfreesboro,45,Home Fragrances,2,5%,1051.9,452.32,105.19,-347.13,,
SO - 0006529,Online,2020-07-02,2020-07-29,2020-08-01,USD,17,Frank Brown,346,Utah,UT,75330,192672,Salt Lake City,47,Audio,2,15%,991.6,644.54,297.48,-347.06,,
SO - 0006592,In-Store,2020-07-08,2020-07-20,2020-07-28,USD,8,George Lewis,292,Oregon,OR,57729,164549,Salem,27,Wreaths,6,7.50%,1922.9,1211.43,865.31,-346.12,,
SO - 0005668,In-Store,2020-03-22,2020-04-05,2020-04-11,USD,8,George Lewis,367,Wisconsin,WI,230807,600155,Milwaukee,30,Wall Coverings,3,7.50%,1031.8,577.81,232.16,-345.65,,
SO - 0006659,Wholesale,2020-07-16,2020-07-18,2020-07-22,USD,26,Donald Reynolds,244,New Jersey,NJ,99058,264290,Jersey City,14,Mirrors,2,30%,3839.1,2648.98,2303.46,-345.52,,
SO - 0007764,Distributor,2020-11-21,2020-11-28,2020-12-06,USD,24,Roy Rice,165,Illinois,IL,43510,118844,Milton,38,Wardrobes,2,0.05,1078.7,453.05,107.87,-345.18,,
SO - 0005149,In-Store,2020-01-20,2020-01-31,2020-02-09,USD,12,Carl Nguyen,84,California,CA,55377,148475,Torrance,15,Outdoor Furniture,4,15%,2653.2,1936.84,1591.92,-344.92,,
SO - 0006158,Online,2020-05-19,2020-06-05,2020-06-13,USD,18,Shawn Wallace,342,Texas,TX,37644,103700,Tyler,10,Blankets,1,20%,904.5,524.61,180.9,-343.71,,
SO - 0006265,In-Store,2020-05-31,2020-06-07,2020-06-11,USD,1,Adam Hernandez,97,Colorado,CO,33774,100883,Greeley,30,Wall Coverings,4,7.50%,1105.5,674.36,331.65,-342.71,,
SO - 0006353,Distributor,2020-06-10,2020-07-08,2020-07-17,USD,23,Douglas Tucker,136,Florida,FL,74388,189907,Tallahassee,23,Accessories,2,15%,1038.5,654.26,311.55,-342.71,,
SO - 0005285,Online,2020-02-06,2020-02-27,2020-02-28,USD,17,Frank Brown,233,North Carolina,NC,114080,285342,Greensboro,17,Furniture Cushions,2,7.50%,1038.5,498.48,155.78,-342.71,,
SO - 0005396,Distributor,2020-02-19,2020-03-16,2020-03-17,USD,24,Roy Rice,319,Texas,TX,273457,833319,Fort Worth,18,Basketball,4,0.05,1005,542.7,201,-341.7,,
SO - 0005988,In-Store,2020-04-28,2020-05-16,2020-05-20,USD,3,Jerry Green,87,California,CA,41730,130104,Visalia,7,Dinnerware,8,5%,1005,743.7,402,-341.7,,
SO - 0006538,In-Store,2020-07-03,2020-07-13,2020-07-14,USD,2,Keith Griffin,11,Arizona,AZ,525610,1563025,Phoenix,11,Ornaments,1,10%,1098.8,450.51,109.88,-340.63,,
SO - 0006675,In-Store,2020-07-18,2020-08-15,2020-08-16,USD,11,Joshua Little,317,Texas,TX,43745,131044,Denton,8,Cocktail Glasses,3,5%,1098.8,505.45,164.82,-340.63,,
SO - 0006493,Distributor,2020-06-27,2020-07-10,2020-07-13,USD,22,Joe Price,43,California,CA,36667,111666,Inglewood,8,Cocktail Glasses,1,40%,1031.8,753.21,412.72,-340.49,,
SO - 0005923,Online,2020-04-22,2020-04-26,2020-05-03,USD,19,Nicholas Cunningham,217,Michigan,MI,49444,132052,Sterling Heights,41,Collectibles,2,5%,971.5,437.18,97.15,-340.03,,
SO - 0006956,Distributor,2020-08-21,2020-08-28,2020-09-01,USD,22,Joe Price,306,Tennessee,TN,248677,678889,Nashville,5,Bathroom Furniture,7,7.50%,1943,1360.1,1020.08,-340.03,,
SO - 0006428,Wholesale,2020-06-19,2020-07-04,2020-07-07,USD,26,Donald Reynolds,6,Arizona,AZ,88973,260828,Chandler,21,Floral,5,7.50%,2934.6,1437.95,1100.48,-337.48,,
SO - 0006527,Online,2020-07-02,2020-07-07,2020-07-10,USD,17,Frank Brown,51,California,CA,32685,109830,Murrieta,34,Bedroom Furniture,3,7.50%,924.6,545.51,208.04,-337.48,,
SO - 0006918,Online,2020-08-15,2020-09-02,2020-09-06,USD,12,Carl Nguyen,351,Virginia,VA,81518,235429,Chesapeake,2,Photo Frames,7,5%,1681.7,924.94,588.6,-336.34,,
SO - 0007026,In-Store,2020-08-29,2020-09-18,2020-09-22,USD,1,Adam Hernandez,102,Colorado,CO,42239,113130,Westminster,33,Outdoor Decor,7,5%,1018.4,692.51,356.44,-336.07,,
SO - 0007899,In-Store,2020-12-07,2020-12-19,2020-12-29,USD,3,Jerry Green,138,Florida,FL,41474,106779,West Palm Beach,24,Wall Frames,7,7.50%,6090.3,3532.37,3197.41,-334.97,,
SO - 0005992,Wholesale,2020-04-29,2020-05-12,2020-05-20,USD,26,Donald Reynolds,176,Illinois,IL,50575,116565,Springfield,31,Candleholders,6,5%,743.7,557.78,223.11,-334.67,,
SO - 0006021,Distributor,2020-05-02,2020-05-25,2020-05-30,USD,24,Roy Rice,24,California,CA,45409,128667,Concord,34,Bedroom Furniture,2,0.10,904.5,515.57,180.9,-334.67,,
SO - 0005041,In-Store,2020-01-09,2020-01-25,2020-02-04,USD,4,Chris Armstrong,163,Illinois,IL,39769,112890,Lyons (Township),9,Baseball,2,10%,1045.2,543.5,209.04,-334.46,,
SO - 0006185,Online,2020-05-23,2020-06-15,2020-06-23,USD,12,Carl Nguyen,180,Illinois,IL,47997,125730,York,29,Pendants,2,5%,1078.7,442.27,107.87,-334.4,,
SO - 0005571,In-Store,2020-03-09,2020-04-01,2020-04-06,USD,1,Adam Hernandez,267,New York,NY,3113535,8550405,New York City,1,Cookware,1,20%,1112.2,556.1,222.44,-333.66,,
SO - 0007539,Wholesale,2020-10-27,2020-11-11,2020-11-14,USD,27,Shawn Torres,135,Florida,FL,105443,257083,St. Petersburg,26,Candles,2,7.50%,1112.2,500.49,166.83,-333.66,,
SO - 0007553,In-Store,2020-10-29,2020-11-26,2020-12-03,USD,5,Stephen Payne,204,Louisiana,LA,153140,389617,New Orleans,14,Mirrors,7,5%,1038.5,695.8,363.48,-332.32,,
SO - 0006214,Online,2020-05-26,2020-06-17,2020-06-19,USD,18,Shawn Wallace,25,California,CA,48156,164226,Corona,10,Blankets,3,5%,1065.3,490.04,159.8,-330.24,,
SO - 0005528,Online,2020-03-03,2020-03-29,2020-03-30,USD,16,Anthony Berry,58,California,CA,42720,158351,Palmdale,3,Table Lamps,7,5%,730.3,584.24,255.61,-328.64,,
SO - 0006784,Online,2020-07-30,2020-08-23,2020-09-02,USD,14,Paul Holmes,281,Ohio,OH,334724,850106,Columbus,29,Pendants,5,5%,1172.5,621.43,293.13,-328.3,,
SO - 0006591,Distributor,2020-07-08,2020-08-04,2020-08-09,USD,24,Roy Rice,128,Florida,FL,38474,137132,Miramar,27,Wreaths,3,0.10,2345,1031.8,703.5,-328.3,,
SO - 0006881,Wholesale,2020-08-12,2020-08-26,2020-08-30,USD,28,Carlos Miller,169,Illinois,IL,42938,114057,Palatine (Township),4,Serveware,2,7.50%,1259.6,516.44,188.94,-327.5,,
SO - 0007304,In-Store,2020-09-30,2020-10-19,2020-10-24,USD,11,Joshua Little,95,Colorado,CO,275795,682545,Denver,35,Table Linens,5,7.50%,2257.9,1174.11,846.71,-327.4,,
SO - 0007569,Online,2020-10-30,2020-11-24,2020-12-03,USD,13,Todd Roberts,363,Washington,WA,79026,207948,Tacoma,6,Computers,3,15%,884.4,725.21,397.98,-327.23,,
SO - 0006926,Wholesale,2020-08-17,2020-09-06,2020-09-13,USD,28,Carlos Miller,212,Maryland,MD,39893,102116,Columbia,19,Vanities,8,7.50%,2331.6,1725.38,1398.96,-326.42,,
SO - 0005134,In-Store,2020-01-18,2020-01-23,2020-02-02,USD,7,Shawn Cook,90,Colorado,CO,44615,115368,Arvada,27,Wreaths,3,5%,958.1,469.47,143.72,-325.75,,
SO - 0005747,Online,2020-03-31,2020-04-17,2020-04-20,USD,17,Frank Brown,313,Texas,TX,45263,133168,Carrollton,8,Cocktail Glasses,7,5%,1206,747.72,422.1,-325.62,,
SO - 0007700,Online,2020-11-14,2020-11-18,2020-11-19,USD,18,Shawn Wallace,172,Illinois,IL,54255,151772,Proviso,3,Table Lamps,6,5%,850.9,578.61,255.27,-323.34,,
SO - 0006806,Distributor,2020-08-02,2020-08-05,2020-08-14,USD,25,Patrick Graham,122,Florida,FL,55823,149728,Hollywood,17,Furniture Cushions,8,5%,6452.1,2903.45,2580.84,-322.61,,
SO - 0007216,Online,2020-09-20,2020-10-13,2020-10-15,USD,13,Todd Roberts,100,Colorado,CO,43249,109412,Pueblo,14,Mirrors,3,10%,1112.2,656.2,333.66,-322.54,,
SO - 0005094,Distributor,2020-01-13,2020-02-10,2020-02-11,USD,22,Joe Price,112,Connecticut,CT,40213,108802,Waterbury (Town),47,Audio,7,5%,1005,673.35,351.75,-321.6,,
SO - 0006367,In-Store,2020-06-11,2020-06-29,2020-07-03,USD,1,Adam Hernandez,263,New York,NY,241539,771018,Hempstead (Town),11,Ornaments,1,10%,783.9,399.79,78.39,-321.4,,
SO - 0007228,In-Store,2020-09-21,2020-10-18,2020-10-20,USD,2,Keith Griffin,55,California,CA,47375,171214,Ontario,7,Dinnerware,7,7.50%,1051.9,873.08,552.25,-320.83,,
SO - 0007760,In-Store,2020-11-20,2020-12-12,2020-12-13,USD,8,George Lewis,63,California,CA,36973,109708,Richmond,38,Wardrobes,4,7.50%,1333.3,719.98,399.99,-319.99,,
SO - 0007010,In-Store,2020-08-27,2020-09-07,2020-09-14,USD,9,Joshua Ryan,49,California,CA,70481,211266,Modesto,14,Mirrors,5,5%,1031.8,577.81,257.95,-319.86,,
SO - 0006553,Online,2020-07-04,2020-07-22,2020-07-24,USD,13,Todd Roberts,123,Florida,FL,318575,868031,Jacksonville,35,Table Linens,2,7.50%,998.3,469.2,149.75,-319.46,,
SO - 0005542,In-Store,2020-03-05,2020-03-26,2020-03-31,USD,5,Stephen Payne,12,Arizona,AZ,102424,236839,Scottsdale,5,Bathroom Furniture,5,7.50%,1045.2,710.74,391.95,-318.79,,
SO - 0006026,In-Store,2020-05-03,2020-05-29,2020-06-01,USD,11,Joshua Little,207,Massachusetts,MA,43801,110402,Cambridge,36,Clocks,8,5%,3973.1,1907.09,1589.24,-317.85,,
SO - 0007934,In-Store,2020-12-12,2020-12-20,2020-12-30,USD,4,Chris Armstrong,214,Michigan,MI,255740,677116,Detroit,26,Candles,6,5%,991.6,614.79,297.48,-317.31,,
SO - 0007664,In-Store,2020-11-10,2020-11-28,2020-12-07,USD,6,Joshua Bennett,293,Pennsylvania,PA,41244,120207,Allentown,36,Clocks,1,5%,904.5,361.8,45.23,-316.58,,
SO - 0005030,In-Store,2020-01-08,2020-01-14,2020-01-21,USD,8,George Lewis,262,New York,NY,110549,258071,Buffalo,22,Wine Storage,4,15%,3953,2688.04,2371.8,-316.24,,
SO - 0005371,In-Store,2020-02-16,2020-03-13,2020-03-18,USD,11,Joshua Little,142,Georgia,GA,72760,200579,Columbus,36,Clocks,6,10%,3155.7,2208.99,1893.42,-315.57,,
SO - 0005340,Online,2020-02-12,2020-03-09,2020-03-11,USD,17,Frank Brown,276,New York,NY,523690,1455444,The Bronx,11,Ornaments,2,20%,1165.8,781.09,466.32,-314.77,,
SO - 0007598,Online,2020-11-01,2020-11-18,2020-11-26,USD,16,Anthony Berry,247,New Jersey,NJ,33375,102105,Woodbridge (Township),43,Festive,3,5%,1085.4,477.58,162.81,-314.77,,
SO - 0005040,Online,2020-01-09,2020-01-23,2020-01-25,USD,17,Frank Brown,76,California,CA,59247,182371,Santa Clarita,18,Basketball,8,5%,3932.9,1887.79,1573.16,-314.63,,
SO - 0005850,Wholesale,2020-04-12,2020-04-21,2020-04-30,USD,28,Carlos Miller,16,California,CA,99670,350742,Anaheim,37,Platters,4,15%,3919.5,2665.26,2351.7,-313.56,,
SO - 0006875,In-Store,2020-08-11,2020-09-02,2020-09-04,USD,10,Jonathan Hawkins,250,Nevada,NV,43699,124564,Enterprise,24,Wall Frames,5,5%,783.9,509.54,195.98,-313.56,,
SO - 0005344,Wholesale,2020-02-13,2020-03-10,2020-03-17,USD,28,Carlos Miller,40,California,CA,71498,201020,Glendale,41,Collectibles,5,10%,3919.5,2273.31,1959.75,-313.56,,
SO - 0007876,In-Store,2020-12-05,2020-12-16,2020-12-22,USD,7,Shawn Cook,37,California,CA,161914,520052,Fresno,10,Blankets,5,10%,2613,1620.06,1306.5,-313.56,,
SO - 0006641,In-Store,2020-07-14,2020-07-18,2020-07-23,USD,4,Chris Armstrong,127,Florida,FL,31003,113187,Miami Gardens,22,Wine Storage,4,15%,2847.5,2021.73,1708.5,-313.23,,
SO - 0007626,Distributor,2020-11-05,2020-11-13,2020-11-15,USD,22,Joe Price,347,Utah,UT,31742,111946,West Jordan,33,Outdoor Decor,7,7.50%,2311.5,1525.59,1213.54,-312.05,,
SO - 0007749,Distributor,2020-11-19,2020-11-25,2020-12-02,USD,22,Joe Price,67,California,CA,40892,157380,Salinas,45,Home Fragrances,1,7.50%,683.4,362.2,51.26,-310.95,,
SO - 0007393,Distributor,2020-10-10,2020-10-27,2020-11-01,USD,25,Patrick Graham,286,Oklahoma,OK,232254,631346,Oklahoma City,41,Collectibles,5,7.50%,1051.9,704.77,394.46,-310.31,,
SO - 0006455,In-Store,2020-06-22,2020-07-14,2020-07-23,USD,10,Jonathan Hawkins,54,California,CA,60493,175691,Oceanside,29,Pendants,4,10%,837.5,644.88,335,-309.88,,
SO - 0006777,In-Store,2020-07-29,2020-08-01,2020-08-07,USD,4,Chris Armstrong,146,Hawaii,HI,127177,352769,Honolulu,7,Dinnerware,3,5%,911.2,446.49,136.68,-309.81,,
SO - 0007643,Wholesale,2020-11-08,2020-11-12,2020-11-22,USD,28,Carlos Miller,88,California,CA,30451,100890,Vista,25,TV and video,2,7.50%,911.2,446.49,136.68,-309.81,,
SO - 0005903,In-Store,2020-04-19,2020-05-11,2020-05-18,USD,10,Jonathan Hawkins,62,California,CA,25199,103132,Rialto,34,Bedroom Furniture,5,7.50%,2472.3,1236.15,927.11,-309.04,,
SO - 0007807,Wholesale,2020-11-25,2020-12-13,2020-12-18,USD,25,Patrick Graham,88,California,CA,30451,100890,Vista,11,Ornaments,4,10%,1815.7,1034.95,726.28,-308.67,,
SO - 0007366,In-Store,2020-10-07,2020-10-09,2020-10-14,USD,4,Chris Armstrong,11,Arizona,AZ,525610,1563025,Phoenix,33,Outdoor Decor,6,5%,790.6,545.51,237.18,-308.33,,
SO - 0007459,In-Store,2020-10-18,2020-11-01,2020-11-10,USD,10,Jonathan Hawkins,152,Illinois,IL,44798,148308,Aurora (Township),9,Baseball,4,10%,1025.1,717.57,410.04,-307.53,,
SO - 0005611,In-Store,2020-03-14,2020-04-10,2020-04-15,USD,10,Jonathan Hawkins,85,California,CA,41216,121253,Vallejo,28,Phones,1,15%,931.3,447.02,139.7,-307.33,,
SO - 0005636,In-Store,2020-03-18,2020-04-04,2020-04-07,USD,8,George Lewis,278,Ohio,OH,83684,197542,Akron,32,Vases,5,5%,931.3,540.15,232.83,-307.33,,
SO - 0006540,In-Store,2020-07-03,2020-07-11,2020-07-19,USD,9,Joshua Ryan,51,California,CA,32685,109830,Murrieta,18,Basketball,4,7.50%,1058.6,624.57,317.58,-306.99,,
SO - 0005625,In-Store,2020-03-16,2020-04-03,2020-04-11,USD,3,Jerry Green,274,New York,NY,156341,474558,Staten Island,20,Bar Tools,3,7.50%,1005,532.65,226.13,-306.53,,
SO - 0005221,Distributor,2020-01-29,2020-01-31,2020-02-05,USD,23,Douglas Tucker,139,Georgia,GA,45389,123912,Athens,18,Basketball,3,7.50%,1748.7,699.48,393.46,-306.02,,
SO - 0006290,Distributor,2020-06-02,2020-06-17,2020-06-26,USD,23,Douglas Tucker,356,Virginia,VA,166242,452745,Virginia Beach,2,Photo Frames,1,10%,804,385.92,80.4,-305.52,,
SO - 0005057,Distributor,2020-01-10,2020-01-20,2020-01-23,USD,22,Joe Price,331,Texas,TX,47795,144788,Mesquite,17,Furniture Cushions,7,5%,3805.6,1636.41,1331.96,-304.45,,
SO - 0005457,Online,2020-02-24,2020-03-06,2020-03-11,USD,13,Todd Roberts,67,California,CA,40892,157380,Salinas,35,Table Linens,3,5%,797.3,422.57,119.6,-302.97,,
SO - 0006753,In-Store,2020-07-26,2020-08-20,2020-08-26,USD,4,Chris Armstrong,98,Colorado,CO,37157,101350,Highlands Ranch,42,Bean Bags,2,10%,737,449.57,147.4,-302.17,,
SO - 0005570,Online,2020-03-09,2020-04-05,2020-04-11,USD,18,Shawn Wallace,42,California,CA,74460,201899,Huntington Beach,34,Bedroom Furniture,5,10%,1118.9,861.55,559.45,-302.1,,
SO - 0005672,In-Store,2020-03-22,2020-04-17,2020-04-24,USD,3,Jerry Green,359,Washington,WA,42233,126952,Kent,18,Basketball,5,10%,1313.2,958.64,656.6,-302.04,,
SO - 0005374,Wholesale,2020-02-17,2020-02-26,2020-03-04,USD,25,Patrick Graham,365,Wisconsin,WI,42308,105207,Green Bay,17,Furniture Cushions,5,5%,1112.2,578.34,278.05,-300.29,,
SO - 0005238,Online,2020-01-31,2020-02-22,2020-02-25,USD,18,Shawn Wallace,86,California,CA,31886,122225,Victorville,32,Vases,5,5%,938,534.66,234.5,-300.16,,
SO - 0005384,Wholesale,2020-02-18,2020-03-02,2020-03-04,USD,27,Shawn Torres,144,Georgia,GA,43058,105330,Sandy Springs,42,Bean Bags,6,5%,1072,621.76,321.6,-300.16,,
SO - 0006959,In-Store,2020-08-21,2020-09-14,2020-09-23,USD,11,Joshua Little,224,Missouri,MO,195033,475378,Kansas City,25,TV and video,3,10%,1072,621.76,321.6,-300.16,,
SO - 0007573,Wholesale,2020-10-30,2020-11-01,2020-11-10,USD,26,Donald Reynolds,36,California,CA,72684,232206,Fremont,10,Blankets,5,7.50%,1815.7,980.48,680.89,-299.59,,
SO - 0007572,In-Store,2020-10-30,2020-11-12,2020-11-20,USD,12,Carl Nguyen,112,Connecticut,CT,40213,108802,Waterbury (Town),24,Wall Frames,1,15%,1065.3,458.08,159.8,-298.28,,
SO - 0006602,In-Store,2020-07-09,2020-07-13,2020-07-17,USD,5,Stephen Payne,45,California,CA,24839,100314,Jurupa Valley,8,Cocktail Glasses,8,7.50%,1855.9,1410.48,1113.54,-296.94,,
SO - 0007346,Distributor,2020-10-05,2020-10-07,2020-10-11,USD,21,Samuel Fowler,313,Texas,TX,45263,133168,Carrollton,29,Pendants,7,7.50%,1118.9,883.93,587.42,-296.51,,
SO - 0005512,In-Store,2020-02-29,2020-03-08,2020-03-16,USD,8,George Lewis,233,North Carolina,NC,114080,285342,Greensboro,11,Ornaments,6,7.50%,1849.2,1128.01,832.14,-295.87,,
SO - 0005443,Wholesale,2020-02-23,2020-02-27,2020-03-08,USD,26,Donald Reynolds,346,Utah,UT,75330,192672,Salt Lake City,10,Blankets,2,7.50%,891.1,427.73,133.67,-294.06,,
SO - 0007195,Wholesale,2020-09-18,2020-10-11,2020-10-16,USD,28,Carlos Miller,17,California,CA,33718,110542,Antioch,12,Dining Furniture,5,10%,864.3,726.01,432.15,-293.86,,
SO - 0006249,Online,2020-05-30,2020-06-16,2020-06-21,USD,19,Nicholas Cunningham,7,Arizona,AZ,73617,247542,Gilbert,8,Cocktail Glasses,6,7.50%,1728.6,1071.73,777.87,-293.86,,
SO - 0007751,Wholesale,2020-11-19,2020-12-03,2020-12-10,USD,27,Shawn Torres,337,Texas,TX,40020,110815,Richardson,46,Sculptures,2,5%,911.2,382.7,91.12,-291.58,,
SO - 0007191,In-Store,2020-09-18,2020-09-24,2020-10-04,USD,11,Joshua Little,45,California,CA,24839,100314,Jurupa Valley,25,TV and video,4,10%,1078.7,722.73,431.48,-291.25,,
SO - 0007653,Online,2020-11-09,2020-11-26,2020-12-03,USD,20,Anthony Torres,190,Indiana,IN,38889,103365,Warren,8,Cocktail Glasses,4,10%,938,665.98,375.2,-290.78,,
SO - 0006095,In-Store,2020-05-13,2020-05-21,2020-05-23,USD,9,Joshua Ryan,215,Michigan,MI,73026,195097,Grand Rapids,13,Bakeware,3,15%,783.9,642.8,352.76,-290.04,,
SO - 0005460,In-Store,2020-02-24,2020-03-18,2020-03-19,USD,10,Jonathan Hawkins,293,Pennsylvania,PA,41244,120207,Allentown,47,Audio,5,7.50%,1286.4,771.84,482.4,-289.44,,
SO - 0007363,Online,2020-10-07,2020-10-12,2020-10-15,USD,14,Paul Holmes,242,New Jersey,NJ,35198,102701,Edison,45,Home Fragrances,4,7.50%,1929.6,868.32,578.88,-289.44,,
SO - 0007797,Distributor,2020-11-24,2020-12-17,2020-12-22,USD,21,Samuel Fowler,150,Idaho,ID,86916,218281,Boise City,45,Home Fragrances,8,7.50%,2894.4,2026.08,1736.64,-289.44,,
SO - 0006519,Distributor,2020-07-01,2020-07-07,2020-07-10,USD,24,Roy Rice,125,Florida,FL,31831,106747,Lehigh Acres,41,Collectibles,5,0.05,1031.8,546.85,257.95,-288.9,,
SO - 0006564,Distributor,2020-07-06,2020-07-13,2020-07-18,USD,21,Samuel Fowler,263,New York,NY,241539,771018,Hempstead (Town),41,Collectibles,4,10%,2626.4,1339.46,1050.56,-288.9,,
